"tema","concepto","Abejas 319105","Ejemplo FAN-319104","Katuwan 319054","Mezcal 319061","NAICM 319120","Terr Cafet 319068"
"Actores","Academia",0,1,0,0,0,0
"Actores","Agrícolas y Pecuarias (INIFAP)",0,0,0,0,0,1
"Actores","Apicultoras y Apicultores",1,0,0,0,0,0
"Actores","Apicultores",1,0,0,0,0,0
"Actores","Bélgica",0,0,1,0,0,0
"Actores","CAFECOL",0,0,0,0,0,1
"Actores","CEPCO",0,0,0,0,0,1
"Actores","COEPRIS",0,1,0,0,0,0
"Actores","COFEPRIS",0,1,0,0,0,0
"Actores","CONANP",0,1,0,0,0,0
"Actores","Café Gourmet Sierra Azul",0,0,0,0,0,1
"Actores","Campesinos Ecológicos de la Sierra Madre de Chiapas (CESMACH)",0,0,0,0,0,1
"Actores","Catuai Amarillo",0,0,0,0,0,1
"Actores","Cholom Balá",0,0,0,0,0,1
"Actores","Coco Tortuga A.C.",0,0,1,0,0,0
"Actores","Comisión Estatal de Servicios Públicos de Ensenada",0,1,0,0,0,0
"Actores","Comon Yaj Noptic",0,0,0,0,0,1
"Actores","Comunidades pesqueras",0,1,0,0,0,0
"Actores","Consejo Consultivo de Cambio Climático",0,0,0,0,0,1
"Actores","Consejo Estatal de Productores de Vainilla Veracruzanos A.C.",0,0,1,0,0,0
"Actores","Consejo Totonaco de Organizaciones y Comunidades",0,0,1,0,0,0
"Actores","Consejo para la Protección y Preservación de la Ceremonia Ritual de Voladores A.C.",0,0,1,0,0,0
"Actores","Coordinadora Latinoamericana y del Caribe de Pequeños(as) Productores(as) y Trabajadores(as) de Comercio Justo (CLAC)",0,0,0,0,0,1
"Actores","Dirección General de Divulgación de la Ciencia",0,0,1,0,0,0
"Actores","Ejidatario (a)s",1,0,0,0,0,0
"Actores","El Colegio de la Frontera Sur (ECOSUR)",0,0,0,0,0,1
"Actores","Facultad de Ciencias",0,0,1,0,0,0
"Actores","Facultad de Ingenieria",0,0,1,0,0,0
"Actores","Fairtrade de Oaxaca y Chiapas",0,0,0,0,0,1
"Actores","Fondo para la Paz (FPP)",0,0,0,0,0,1
"Actores","Herpetología Mexicana",0,0,1,0,0,0
"Actores","INCAFESAM",0,0,0,0,0,1
"Actores","INRAE",0,0,1,0,0,0
"Actores","IRD",0,0,1,0,0,0
"Actores","Industria privada de maricultura",0,1,0,0,0,0
"Actores","Institudo de Biología",0,0,1,0,0,0
"Actores","Instituto Nacional de Investigaciones Forestales",0,0,0,0,0,1
"Actores","Instituto de Ecología",0,0,1,0,0,0
"Actores","Instituto de Ecología A. C. (INECOL)",0,0,0,0,0,1
"Actores","Instituto de Geología",0,0,1,0,0,0
"Actores","Instituto de Investigaciones Económicas",0,0,1,0,0,0
"Actores","Instituto tecnológico de Huatusco",0,0,0,0,0,1
"Actores","Itzeni A.C.",0,0,1,0,0,0
"Actores","MNHN (Museo Nacional de Historia Natural)",0,0,1,0,0,0
"Actores","Maya Vinic",0,0,0,0,0,1
"Actores","OXFAM México",0,0,0,0,0,1
"Actores","Paris",0,0,1,0,0,0
"Actores","Permisionarios locales",0,1,0,0,0,0
"Actores","Productores (acuacultores)",0,1,0,0,0,0
